"League","Season","hometeam","awayteam","EI_home","EI_away"
"BL",2009,"Hoffenheim","Stuttgart",0,0.14887849247516
"BL",2009,"Mainz","Schalke 04",0,0
"BL",2009,"M'gladbach","Leverkusen",0,0.147730446408428
"BL",2009,"Bochum","Hannover",0.376939718340822,0.448352705258725
"BL",2009,"Werder Bremen","Hamburg",0.038078277821478,0.134966704308329
"BL",2009,"Nurnberg","FC Koln",0.147265681097245,0
"BL",2009,"Wolfsburg","Ein Frankfurt",0,0
"BL",2009,"Freiburg","Dortmund",0,0
"BL",2009,"Hertha","Bayern Munich",0,0
"BL",2009,"Dortmund","Wolfsburg",0.0409003325975866,0
"BL",2009,"Schalke 04","Werder Bremen",0.065328444783155,0.10595800513087
"BL",2009,"Hamburg","Nurnberg",0.0117296129602523,0.106433489213599
"BL",2009,"Stuttgart","Mainz",0.0219731092780281,0
"BL",2009,"Hannover","M'gladbach",0.0714723119772858,0
"BL",2009,"Ein Frankfurt","Hoffenheim",0,0
"BL",2009,"Leverkusen","Hertha",0.0534295896888556,0.0354916205405847
"BL",2009,"FC Koln","Freiburg",0,0.0192084161275979
"BL",2009,"Bayern Munich","Bochum",0.0421700711457292,0.0478391757872634
"BL",2009,"Freiburg","Wolfsburg",0.149177397735284,0.00965512573066169
"BL",2009,"Hoffenheim","Hamburg",3.27777908322629e-17,0.0519056104777562
"BL",2009,"Werder Bremen","FC Koln",0.0415782774894958,1.14263301364347e-16
"BL",2009,"Hertha","Schalke 04",0.0534376421946298,0.0377292302863512
"BL",2009,"Leverkusen","Hannover",0.0457189666416228,0.038037799269577
"BL",2009,"Mainz","Ein Frankfurt",0,0.00203269771796498
"BL",2009,"Nurnberg","Dortmund",0.0634349825982195,0.0374009118962298
"BL",2009,"M'gladbach","Bayern Munich",0,0.0187142411237457
"BL",2009,"Bochum","Stuttgart",0.0473272759195891,0.0450506538702424
"BL",2009,"Ein Frankfurt","Hertha",0.00516623774600701,0.0343484855009623
"BL",2009,"Dortmund","Hoffenheim",0.0386582155205396,0
"BL",2009,"Bayern Munich","Hannover",0.0209242147484404,0.0371896166654529
"BL",2009,"Wolfsburg","Werder Bremen",0.0260195208739821,0.0373543620396699
"BL",2009,"Freiburg","Nurnberg",0.126542806704843,0.107215962271778
"BL",2009,"Hamburg","Mainz",0.062027236196668,0.000349085835016395
"BL",2009,"Schalke 04","M'gladbach",0.023411046649807,0
"BL",2009,"Stuttgart","Leverkusen",0.044717707500762,0.0449963642336242
"BL",2009,"FC Koln","Bochum",0.000883138328098381,0.0447685851705991
"BL",2009,"Nurnberg","Wolfsburg",0.0477596060942013,0.00624665205723297
"BL",2009,"Bochum","Hamburg",0.0368935974090448,0.0165096923945209
"BL",2009,"Leverkusen","Bayern Munich",0.03084982008458,0.0185000135787768
"BL",2009,"Hertha","Stuttgart",0.0416900482440865,0.0362375183827214
"BL",2009,"Hannover","Schalke 04",0.0467482477996611,0.0356235278331056
"BL",2009,"Werder Bremen","Freiburg",0.0236648143287797,0.0166423677610402
"BL",2009,"Hoffenheim","FC Koln",0,0.00989797477758793
"BL",2009,"Mainz","Dortmund",0.000153036961818176,0.0540274647991774
"BL",2009,"M'gladbach","Ein Frankfurt",0.000332202821644365,0.019566654317238
"BL",2009,"Hamburg","Hannover",0.0278448338929652,0.0256150760395651
"BL",2009,"Wolfsburg","Hoffenheim",0.00270662149878662,2.70452800092629e-05
"BL",2009,"FC Koln","Hertha",0.00101717177523756,0.0107378726854669
"BL",2009,"Dortmund","Werder Bremen",0.0582024881578185,0.0594015883202037
"BL",2009,"Nurnberg","Mainz",0.0166074850403052,0.00167366517248184
"BL",2009,"Stuttgart","M'gladbach",0.016264581991776,0.000105128168016661
"BL",2009,"Ein Frankfurt","Leverkusen",0.00909284255130068,0.0355379342800178
"BL",2009,"Freiburg","Bochum",0.0261631672462572,0.0307660131958595
"BL",2009,"Schalke 04","Bayern Munich",0.0695227663533134,0.0744735528197902
"BL",2009,"M'gladbach","Hamburg",0.00298016948590334,0.0408573163025649
"BL",2009,"Hoffenheim","Freiburg",0.00080855202976346,0.0110412547440457
"BL",2009,"Leverkusen","Schalke 04",0.0590983830683688,0.0260405897692738
"BL",2009,"Mainz","Wolfsburg",0.00351792412083228,0.00430050495307422
"BL",2009,"Bayern Munich","Stuttgart",0.0205083083116298,0.0260340095723068
"BL",2009,"Werder Bremen","Nurnberg",0.0166567692361753,0.0281187429976492
"BL",2009,"Hannover","FC Koln",0.0351984057752292,0.0179982778885697
"BL",2009,"Hertha","Dortmund",0.0194526914733537,0.0207528858016629
"BL",2009,"Bochum","Ein Frankfurt",0.037581230787658,0.00693064995927004
"BL",2009,"Wolfsburg","Hertha",0.0124982725679693,0.00908320847048772
"BL",2009,"Hamburg","Schalke 04",0.0197414607282235,0.00933229106279667
"BL",2009,"Dortmund","Leverkusen",0.0337421535124692,0.0376039532707353
"BL",2009,"Freiburg","Mainz",0.0209475625742147,0.012459124261011
"BL",2009,"Nurnberg","Hoffenheim",0.0146990286841504,0.00130848805658214
"BL",2009,"Stuttgart","Hannover",0.0204746043089966,0.0386553474696823
"BL",2009,"Werder Bremen","Bochum",0.0109578785101797,0.0275532175712047
"BL",2009,"Ein Frankfurt","Bayern Munich",0.00342952044117093,0.0213336000976215
"BL",2009,"FC Koln","M'gladbach",0.00118037409772489,0.00186523187761738
"BL",2009,"Leverkusen","Hamburg",0.0283433314644916,0.0420961705122789
"BL",2009,"Hoffenheim","Werder Bremen",0.00054808591756859,0.0073290199622757
"BL",2009,"Bayern Munich","Freiburg",0.000415981140044775,0.000184914155460581
"BL",2009,"M'gladbach","Wolfsburg",0.000561625625846151,0.00415356716360031
"BL",2009,"Hertha","Nurnberg",0.045672832373033,0.0384433714365413
"BL",2009,"Mainz","FC Koln",0.00373610231229806,0.00154805693613894
"BL",2009,"Hannover","Ein Frankfurt",0.012454952049937,0.00281963520474737
"BL",2009,"Bochum","Dortmund",0.021502818427161,0.0293731826762388
"BL",2009,"Schalke 04","Stuttgart",0.0230344504621891,0.012674819091148
"BL",2009,"Hoffenheim","Mainz",0.00223048287032081,0.00520960414118588
"BL",2009,"Nurnberg","Leverkusen",0.0241833635511722,0.0217950781664323
"BL",2009,"Dortmund","M'gladbach",0.0122967202032962,0.000578446993984546
"BL",2009,"Werder Bremen","Stuttgart",0.0052134944064523,0.00343456784638439
"BL",2009,"Ein Frankfurt","Schalke 04",0.00716503013686337,0.0255388906073099
"BL",2009,"Hamburg","Hertha",0.0194851873563883,0.024294972650964
"BL",2009,"Freiburg","Hannover",0.0231481333459003,0.0311544849724005
"BL",2009,"Wolfsburg","Bochum",0.00325095182493465,0.00623110360537801
"BL",2009,"FC Koln","Bayern Munich",0.00107667514020323,0.0060593876988964
"BL",2009,"Bayern Munich","Hamburg",0.00185061839721133,0.00159456307827681
"BL",2009,"Hannover","Wolfsburg",0.0129489943466307,0.00590324555295837
"BL",2009,"Leverkusen","FC Koln",0.00967828171388753,0.00212423275748184
"BL",2009,"Mainz","Werder Bremen",0.00222694191185449,0.00515840739786007
"BL",2009,"Bochum","Nurnberg",0.0159770954111503,0.0153690363693609
"BL",2009,"Hertha","Hoffenheim",0.0247644555694645,0.0029006998607529
"BL",2009,"M'gladbach","Freiburg",0.00228420055424292,0.0062123313938979
"BL",2009,"Stuttgart","Ein Frankfurt",0.00730730405498799,0.00418446725990275
"BL",2009,"Schalke 04","Dortmund",0.0296121881137339,0.0270285057206381
"BL",2009,"Wolfsburg","Schalke 04",0.0043456033976099,0.0156324276766297
"BL",2009,"Werder Bremen","Leverkusen",0.00846333108398221,0.0117371778997765
"BL",2009,"Freiburg","Hertha",0.0257060004813968,0.0180856698574944
"BL",2009,"FC Koln","Stuttgart",0.00100202017424602,0.0064565959203235
"BL",2009,"Dortmund","Hannover",0.0237048548278621,0.030865032666065
"BL",2009,"Hamburg","Ein Frankfurt",0.0157057161354112,0.00965518075807666
"BL",2009,"Mainz","Bochum",0.00344160435959361,0.00289467095132928
"BL",2009,"Nurnberg","Bayern Munich",0.00280835989552142,0.00588063050119535
"BL",2009,"Hoffenheim","M'gladbach",0.00341543677950859,0.00116838047489672
"BL",2009,"Ein Frankfurt","Freiburg",0.00453698243380091,0.0204971301124896
"BL",2009,"Schalke 04","FC Koln",0.00662510818177499,0.000570630398279367
"BL",2009,"Bayern Munich","Dortmund",0.00970018709496485,0.0034877790354507
"BL",2009,"Leverkusen","Wolfsburg",0.0109056814376763,0.00575821106930619
"BL",2009,"Hannover","Werder Bremen",0.0296282824527241,0.00802489015958151
"BL",2009,"Hertha","Mainz",0.00839970565002483,0.0033559555078762
"BL",2009,"Bochum","Hoffenheim",0.0156086430882373,0.00688195206048774
"BL",2009,"Stuttgart","Hamburg",0.0376980737101647,0.039464053030302
"BL",2009,"M'gladbach","Nurnberg",0.0127634232838485,0.00710126624194363
"BL",2009,"Dortmund","Ein Frankfurt",0.019686377802509,0.00788220999266761
"BL",2009,"Mainz","M'gladbach",0.00431006281913998,0.00126721282830534
"BL",2009,"Nurnberg","Stuttgart",0.018810026630803,0.00956677311200432
"BL",2009,"Freiburg","Schalke 04",0.00205539727302764,0.00924497551005659
"BL",2009,"Bochum","Leverkusen",0.00328456460156713,0.00582945678996672
"BL",2009,"Hoffenheim","Hannover",0.00841751857785027,0.0304677986873137
"BL",2009,"FC Koln","Hamburg",0.00333324032789607,0.0102375892854978
"BL",2009,"Wolfsburg","Bayern Munich",0.00720693768211345,0.0183409270216021
"BL",2009,"Werder Bremen","Hertha",0.00251703979948619,0.00979173662736107
"BL",2009,"Leverkusen","Freiburg",0.00306334527340978,0.00101133985251837
"BL",2009,"Stuttgart","Dortmund",0.0103334339218674,0.0195547857327943
"BL",2009,"Schalke 04","Hoffenheim",0.00922929831904494,0.00399125058136263
"BL",2009,"M'gladbach","Werder Bremen",0.0162149508222743,0.00997773279506599
